,Comapany_name,Rating,Sector,Domain,Employees,Age,Location
683,Lumax Industries,4.0,Public,Auto Components,1k-5k Employees,79 years old,Pune +30 more
684,Tata Group,4.3,Conglomerate,IT Services & Consulting,1 Lakh+ Employees,156 years old,Mumbai +129 more
685,AB InBev India,3.5,Public,Beverage,1k-5k Employees,36 years old,Leuven +64 more
686,Evalueserve,3.6,None,None,None,None,None
687,Vfs Global Services,3.7,None,None,None,None,None
688,Steel Strips Wheels,3.8,Public,Auto Components,1k-5k Employees,33 years old,Chandigarh +35 more
689,Spinny,3.9,Indian Unicorn,Financial Services,1k-5k Employees,9 years old,Gurgaon +42 more
690,Amity University,3.6,None,None,None,None,None
691,Pine Labs,3.8,Indian Unicorn,FinTech,1k-5k Employees,26 years old,Noida +78 more
692,Aircel,4.5,None,None,None,None,None
693,Bisleri,4.2,None,None,None,None,None
694,Cinépolis,4.0,None,None,None,None,None
695,Unichem Laboratories,4.0,Public,Pharma,1k-5k Employees,80 years old,Mumbai +65 more
696,Synchrony,4.4,Forbes Global 2000,Financial Services,1k-5k Employees,21 years old,Stamford +9 more
697,IFB,3.7,Public,Consumer Electronics & Appliances,201-500 Employees,50 years old,Kolkata +136 more
698,Iffco Tokio General Insurance Co.,4.1,None,None,None,None,None
699,Tanishq,4.5,None,None,None,None,None
700,Indoco Remedies,3.7,Public,Pharma,5k-10k Employees,77 years old,Mumbai +65 more
701,CorroHealth,3.4,None,None,None,None,None
702,Newgen Software Technologies,3.6,Public,IT Services & Consulting,1k-5k Employees,32 years old,New Delhi +22 more
703,Iksula,3.8,None,None,None,None,None
704,Punjab National Bank,4.1,Fortune India 500,Banking,1 Lakh+ Employees,130 years old,Delhi/NCR +177 more
705,NEC,4.5,Forbes Global 2000,IT Services & Consulting,5k-10k Employees,125 years old,Noida +39 more
706,Jakson Group,4.5,None,None,None,None,None
707,Northern Trust Operating Services,4.1,Forbes Global 2000,Financial Services,5k-10k Employees,135 years old,Chicago +16 more
708,SYSKA LED Lights,2.9,Startup,Consumer Electronics & Appliances,1k-5k Employees (Global),12 years old,Pune +152 more
709,Fino Payments Bank,4.0,None,None,None,None,None
710,Saipem,4.0,Forbes Global 2000,Engineering & Construction,1k-5k Employees,67 years old,San Donato Milanese +37 more
711,LivSpace,3.5,Indian Unicorn,Architecture & Interior Design,1k-5k Employees,9 years old,Bangalore +37 more
712,FDC,4.0,Public,Pharma,5k-10k Employees,84 years old,Mumbai +96 more
713,Valeo,4.1,Forbes Global 2000,Auto Components,5k-10k Employees,101 years old,Paris +19 more
714,Health Care Global Enterprises,4.2,Public,Healthcare,5k-10k Employees,35 years old,Bangalore/Bengaluru +39 more
715,Sagility,3.9,None,None,None,None,None
716,Tietoevry,4.3,Public,IT Services & Consulting,1k-5k Employees,56 years old,Helsinki +9 more
717,Physicswallah,3.9,Indian Unicorn,EdTech,10k-50k Employees,5 years old,Noida +63 more
718,Devyani International,3.8,Public,Hospitality,10k-50k Employees,33 years old,Gurgaon/Gurugram +90 more
719,Best Sellers,4.2,None,None,None,None,None
720,ECIL,4.0,Public,Electronics Manufacturing,1k-5k Employees,57 years old,Hyderabad / Secunderabad +41 more
721,VMware Software,4.4,Forbes Global 2000,Software Product,5k-10k Employees,26 years old,Bangalore / Bengaluru +17 more
722,BVG India,4.1,None,None,None,None,None
723,Aditya Birla Health Insurance Co,3.9,None,None,None,None,None
724,SKF,4.0,Public,Auto Components,1k-5k Employees,101 years old,Pimpri-Chinchwad +64 more
725,Suryoday Small Finance Bank,4.1,None,None,None,None,None
726,Goldman Sachs,3.6,None,None,None,None,None
727,DISH TV,3.7,Public,Broadcasting,201-500 Employees,21 years old,Pimpri-Chinchwad +136 more
728,AGS Transact Technologies,3.5,None,None,None,None,None
729,Wheelseye Technology,3.7,Startup,Internet,1k-5k Employees,7 years old,Gurgaon / Gurugram +175 more
730,Burger King,4.0,None,None,None,None,None
731,Fidelity National Financial,3.8,Forbes Global 2000,Financial Services,1k-5k Employees,177 years old,Bangalore / Bengaluru +10 more
732,DENSO,4.2,Public,Auto Components,1k-5k Employees,77 years old,Greater Noida +35 more
733,ManpowerGroup,3.9,Forbes Global 2000,Recruitment,50k-1 Lakh Employees,29 years old,Gurgaon / Gurugram +117 more
734,Oil And Natural Gas Corporation,4.3,Public,Oil & Gas,10k-50k Employees,68 years old,Mumbai +63 more
735,Foxconn,4.1,None,None,None,None,None
736,Xyz Company,3.8,None,None,None,None,None
737,SAI Life Sciences,3.8,Public,Pharma,1k-5k Employees,25 years old,Hyderabad / Secunderabad +16 more
738,Clover Infotech,3.7,None,None,None,None,None
739,Paytm Payments Bank,3.9,Public,FinTech,1k-5k Employees,8 years old,Pimpri-Chinchwad +105 more
740,Altisource,3.6,None,None,None,None,None
741,Shriram Pistons & Rings,4.2,Public,Auto Components,1k-5k Employees,61 years old,Delhi/NCR +53 more
742,Amneal Pharmaceuticals,4.3,None,None,None,None,None
743,Atul,4.0,Public,Chemicals,1k-5k Employees,77 years old,Valsad +53 more
744,Sansera Engineering,4.2,Public,Auto Components,1k-5k Employees,38 years old,Bangalore/Bengaluru +21 more
745,Vestas,4.3,Forbes Global 2000,Power,1k-5k Employees,79 years old,Aarhus +43 more
746,Fresenius Kabi,4.2,None,None,None,None,None
747,ANZ Banking Group,4.1,Forbes Global 2000,Financial Services,5k-10k Employees,17 years old,Melbourne +15 more
748,Nexa,4.1,None,None,None,None,None
749,QualityKiosk Technologies,3.7,None,None,None,None,None
750,Tata 1mg,3.7,None,None,None,None,None
751,The Jaypee Group,3.9,Public,Engineering & Construction,10k-50k Employees,45 years old,Noida +93 more
752,Gujarat Fluorochemicals,4.2,Fortune India 500,Chemicals,1k-5k Employees,37 years old,Noida +24 more
753,Apco Infratech,3.9,None,None,None,None,None
754,Amara Raja Energy & Mobility,4.3,Fortune India 500,Auto Components,5k-10k Employees,39 years old,Tirupati +64 more
755,Schindler,4.0,None,None,None,None,None
756,FOCUS EDUMATICS,3.4,None,None,None,None,None
757,Luminous Power Technologies,4.2,None,None,None,None,None
758,Videocon d2h,3.9,Public,Internet,501-1k Employees,15 years old,Mumbai +129 more
759,Eureka Outsourcing Solutions,3.1,None,None,None,None,None
760,Vibgyor High School,3.8,None,None,None,None,None
761,Medhaj Techno Concept,4.3,None,None,None,None,None
762,Indegene,3.7,None,None,None,None,None
763,Dixon Technologies,4.2,Public,Electronics Manufacturing,1k-5k Employees,31 years old,Noida +32 more
764,Consolidated Contractors,4.5,Public,Engineering & Construction,1k-5k Employees,72 years old,Marousi +50 more
765,CreditAccess Grameen,4.3,Public,NBFC,10k-50k Employees,25 years old,Bangalore/Bengaluru +243 more
766,K12 Techno Services,3.0,None,None,None,None,None
767,iSON Xperiences,3.6,None,None,None,None,None
768,GAIL,4.5,Fortune India 500,Oil & Gas,1k-5k Employees,40 years old,Delhi/NCR +90 more
769,Tata AutoComp Systems,3.9,Public,Auto Components,1k-5k Employees,26 years old,Pune +31 more
770,Johnson Lifts,4.2,None,None,None,None,None
771,TELUS International Philippines,3.8,Startup,IT Services & Consulting,1k-5k Employees,19 years old,Pasig City +15 more
772,Tenneco,3.8,Forbes Global 2000,Auto Components,1k-5k Employees,84 years old,Lake Forest +34 more
773,Wistron,3.9,Forbes Global 2000,Electronics Manufacturing,1k-5k Employees,23 years old,Taipei +18 more
774,PharmEasy,3.7,Indian Unicorn,Internet,1k-5k Employees,9 years old,Mumbai +56 more
775,Kantar,3.7,None,None,None,None,None
776,IndiaFirst Life Insurance,4.2,None,None,None,None,None
777,Hitachi Astemo,4.0,None,None,None,None,None
778,Continental Automotive Components,4.3,None,None,None,None,None
779,Infogain,3.7,None,None,None,None,None
780,Wind World,4.0,None,None,None,None,None
781,Piaggio,3.7,None,None,None,None,None
782,Eaton Corporation,4.0,Public,Power,5k-10k Employees,113 years old,Cleveland +18 more
783,Infinx,3.6,None,None,None,None,None
784,Bajaj Motors,3.9,None,None,None,None,None
785,AIIMS,4.2,None,None,None,None,None
786,Patanjali Foods,4.0,Public,FMCG,5k-10k Employees,38 years old,Mumbai +142 more
787,Jio Platforms,3.7,None,None,None,None,None
788,Bharat Sanchar Nigam,4.0,Central,Telecom,50k-1 Lakh Employees,24 years old,Delhi/NCR +207 more
789,Gannon Dunkerley & Co.,3.8,None,None,None,None,None
790,Godrej Properties,3.7,Public,Real Estate,1k-5k Employees,34 years old,Mumbai +27 more
791,Godrej Consumer Products,4.3,Public,FMCG,1k-5k Employees,23 years old,Mumbai +108 more
792,Zf Rane Automotive,4.1,None,None,None,None,None
793,Intertek,3.8,None,None,None,None,None
794,PNB Housing Finance,3.9,Public,Financial Services,1k-5k Employees,36 years old,Delhi/NCR +113 more
795,Mahindra CIE Automotive,3.8,Public,Auto Components,1k-5k Employees,25 years old,Mumbai +36 more
796,JW Marriott,4.1,None,None,None,None,None
797,TUV SUD,4.0,None,None,None,None,None
798,Sheenlac Paints,4.6,Public,Chemicals,501-1k Employees,62 years old,Chennai +130 more
799,Mondelez International,4.4,Forbes Global 2000,Food Processing,1k-5k Employees,12 years old,Greater Chicago Area +133 more
800,Karma Ayurveda,4.5,None,None,None,None,None
