,Comapany_name,Rating,Sector,Domain,Employees,Age,Location
945,H.G. Infra Engineering,4.4,Public,Engineering & Construction,1k-5k Employees,21 years old,Jaipur +76 more
946,Aditya Birla Finance,3.9,None,None,None,None,None
947,Pristyn Care,3.5,Indian Unicorn,Healthcare,1k-5k Employees,6 years old,Delhi +26 more
948,SLK Global Services,3.9,None,None,None,None,None
949,VIP Industries,4.0,Public,Retail,1k-5k Employees,53 years old,Mumbai +83 more
950,Gmmco,4.2,None,None,None,None,None
951,Sundaram Clayton,4.1,Public,Auto Components,1k-5k Employees,62 years old,Chennai +24 more
952,AstraZeneca,4.2,Public,Pharma,501-1k Employees,25 years old,Cambridge +39 more
953,CALIBEHR,4.0,None,None,None,None,None
954,Incedo,3.4,None,None,None,None,None
955,Next Education India,3.8,None,None,None,None,None
956,eClinicalWorks,3.9,None,None,None,None,None
957,Perfetti Van Melle,4.4,None,None,None,None,None
958,Mahindra First Choice Wheels,3.9,None,None,None,None,None
959,Fusion Microfinance,4.1,None,None,None,None,None
960,Orchids International School,3.0,None,None,None,None,None
961,PayPal,4.0,Forbes Global 2000,FinTech,1k-5k Employees,26 years old,San Jose +11 more
962,Egis  India Consulting Engineers,4.1,None,None,None,None,None
963,Visionet Systems,3.3,None,None,None,None,None
964,JTEKT,4.2,Public,Auto Components,1k-5k Employees,18 years old,Osaka +23 more
965,MakeMyTrip,3.7,Public,Internet,5k-10k Employees,24 years old,Gurgaon +37 more
966,Nirma,4.2,Fortune India 500,FMCG,10k-50k Employees,34 years old,Ahmedabad +54 more
967,LOREAL,4.1,Forbes Global 2000,Beauty & Personal Care,1k-5k Employees,33 years old,Clichy +81 more
968,Pacific BPO,3.6,None,None,None,None,None
969,KIMS Hospital,4.1,None,None,None,None,None
970,MAHLE ANAND Filter Systems,4.1,None,None,None,None,None
971,Air India,4.1,Central,Aviation,10k-50k Employees,94 years old,Delhi/NCR +51 more
972,Teva Pharmaceuticals,4.2,Forbes Global 2000,Pharma,1k-5k Employees,45 years old,Dublin +33 more
973,Caratlane Trading,4.3,None,None,None,None,None
974,HFCL,4.2,Public,Hardware & Networking,1k-5k Employees,37 years old,Delhi/NCR +91 more
975,Fluor Corporation,4.3,None,None,None,None,None
976,Hikal,4.1,None,None,None,None,None
977,INDO-MIM,4.3,None,None,None,None,None
978,Vedanta Aluminium,3.9,None,None,None,None,None
979,VeeTechnologies,3.8,None,None,None,None,None
980,Capital Numbers Infotech,4.7,None,None,None,None,None
981,Birla Corporation,4.2,Public,Building Material,5k-10k Employees,105 years old,Kolkata +110 more
982,SitusAMC,3.3,None,None,None,None,None
983,C&S Electric,4.0,None,None,None,None,None
984,CADD Centre Training Services,4.1,None,None,None,None,None
985,ICICI Prudential Mutual Fund,3.8,None,None,None,None,None
986,Orion Edutech,3.3,None,None,None,None,None
987,Better.com,3.0,Startup,Financial Services,1k-5k Employees,8 years old,New York City +5 more
988,Pernod Ricard,3.9,Forbes Global 2000,Beverage,1k-5k Employees,49 years old,Paris +96 more
989,Troikaa Pharmaceuticals,3.8,None,None,None,None,None
990,Prodapt,3.7,None,None,None,None,None
991,Future Focus Infotech,3.6,None,None,None,None,None
992,NextComm Corporation,4.8,None,None,None,None,None
993,Patra Corporation,3.8,None,None,None,None,None
994,Uber,4.2,Public,Internet,1k-5k Employees,15 years old,San Francisco +43 more
995,Webhelp,3.8,None,None,None,None,None
996,Ford Business Solutions,4.5,None,None,None,None,None
997,Skill Lync,3.1,Startup,EdTech,1k-5k Employees,9 years old,Palo Alto +13 more
998,Thomas Cook,3.8,Public,Travel & Tourism,1k-5k Employees,143 years old,Mumbai +75 more
999,Air India Sats Airport Services,3.8,None,None,None,None,None
1000,TNQ Technologies,3.7,None,None,None,None,None
1001,Metropolis Healthcare,4.1,Conglomerate,Healthcare,1k-5k Employees,44 years old,Mumbai +82 more
1002,Neel Metal Products,4.1,None,None,None,None,None
1003,Mu Sigma,3.0,Indian Unicorn,Analytics & KPO,1k-5k Employees,20 years old,Northbrook +7 more
1004,Zoho,4.3,None,None,None,None,None
1005,Toppr,3.5,Startup,EdTech,1k-5k Employees,11 years old,Mumbai +43 more
1006,SBFC Finance,3.8,None,None,None,None,None
1007,Quest Retail Private Limited,4.5,None,None,None,None,None
1008,Otis Elevator,4.0,None,None,None,None,None
1009,Standard Chartered Global Business Services,4.0,None,None,None,None,None
1010,C.R.I. Pumps,4.0,None,None,None,None,None
1011,Yashoda Hospitals,3.9,None,None,None,None,None
1012,Huhtamaki,3.9,None,None,None,None,None
1013,Pramerica Life Insurance,3.9,None,None,None,None,None
1014,Shriram General Insurance,3.7,None,None,None,None,None
1015,GVPR Engineers,4.0,Public,Engineering & Construction,501-1k Employees,27 years old,Hyderabad/Secunderabad +64 more
1016,Schaeffler India,4.2,Public,Auto Components,1k-5k Employees,78 years old,Mumbai +19 more
1017,Bank of India,4.0,Fortune India 500,Banking,50k-1 Lakh Employees,118 years old,Mumbai +154 more
1018,Aviva Life Insurance India,3.6,Forbes Global 2000,Insurance,1k-5k Employees,328 years old,London +103 more
1019,Vertiv,4.0,Startup,IT Services & Consulting,51-200 Employees (Global),8 years old,Columbus +48 more
1020,Suzuki Motorcycle,4.1,None,None,None,None,None
1021,Willis Towers Watson,4.0,Forbes Global 2000,Financial Services,1k-5k Employees,8 years old,London +15 more
1022,Amara Raja Group,4.2,Public,Auto Components,5k-10k Employees,39 years old,Bangalore/Bengaluru +55 more
1023,Indira IVF Hospital,4.0,None,None,None,None,None
1024,Wheels,4.1,Public,Auto Components,1k-5k Employees,62 years old,Chennai +31 more
1025,Everest Industries,4.2,Public,Building Material,1k-5k Employees,90 years old,Noida +68 more
1026,Alok Industries,3.8,Public,Fashion & Textile,10k-50k Employees,38 years old,Mumbai +27 more
1027,Bechtel,4.1,None,None,None,None,None
1028,Columbia Asia,4.4,None,None,None,None,None
1029,Leadec India,4.0,None,None,None,None,None
1030,Meril,3.9,None,None,None,None,None
1031,Centre for Development of Advanced Computing,3.9,None,None,None,None,None
1032,Centum Electronics,3.8,Public,Electronics Manufacturing,1k-5k Employees,30 years old,Bangalore/Bengaluru +12 more
1033,Test Yantra Software Solutions,3.4,Public,IT Services & Consulting,1k-5k Employees,17 years old,Bangalore/Bengaluru +15 more
1034,Federal Bank,4.0,Public,Banking,10k-50k Employees,93 years old,Aluva +113 more
1035,Gharda Chemicals,4.2,None,None,None,None,None
1036,Dunzo,3.5,Startup,Internet,1k-5k Employees,10 years old,Bangalore +17 more
1037,Aarvi Encon,4.1,Public,Recruitment,5k-10k Employees,37 years old,Mumbai +90 more
1038,Marks & Spencer,4.1,Forbes Global 2000,Retail,1k-5k Employees,140 years old,London +55 more
1039,Aspire Systems,4.0,None,None,None,None,None
1040,THE LEELA PALACES HOTELS & RESORTS,4.1,Conglomerate,Hospitality,1k-5k Employees,41 years old,Mumbai +27 more
1041,Napino Auto & Electronics,4.1,Public,Auto Components,5k-10k Employees,27 years old,Gurgaon/Gurugram +14 more
1042,Parekh Integrated Services,4.1,None,None,None,None,None
1043,HT Media,3.5,Public,Media & Entertainment,1k-5k Employees,100 years old,Delhi/NCR +38 more
1044,Duck Creek Technologies,4.5,None,None,None,None,None
1045,Godrej Agrovet,4.1,None,None,None,None,None
1046,Rupeek,3.8,Startup,FinTech,1k-5k Employees,9 years old,Bangalore +55 more
1047,DLF,4.0,Public,Real Estate,501-1k Employees,78 years old,Gurgaon/Gurugram +28 more
1048,Grant Thornton,3.7,None,None,None,None,None
1049,Aparna Constructions and Estates,4.1,None,None,None,None,None
1050,Lakshmi Machine Works,4.0,Public,Industrial Machinery,1k-5k Employees,62 years old,Coimbatore +20 more
1051,Natco Pharma,4.0,Public,Pharma,1k-5k Employees,43 years old,Hyderabad/Secunderabad +47 more
1052,Greaves Cotton,4.0,Public,Auto Components,501-1k Employees,165 years old,Mumbai +37 more
1053,Zydus Wellness,3.9,Public,FMCG,501-1k Employees,36 years old,Ahmedabad +94 more
1054,Knorr-Bremse,4.1,Forbes Global 2000,Auto Components,501-1k Employees,11 years old,Munich +26 more
1055,Sykes Business Services Of India,3.5,None,None,None,None,None
1056,Star Cement,4.1,Public,Building Material,1k-5k Employees,23 years old,Kolkata +56 more
1057,Allianz Technology,4.4,None,None,None,None,None
1058,Panacea Biotec,3.9,Public,Biotechnology,1k-5k Employees,40 years old,Delhi/NCR +50 more
1059,Vedanta Resources,3.8,Public,Metals & Mining,1k-5k Employees,48 years old,London +60 more
1060,Samsung Engineering,4.2,None,None,None,None,None
1061,KEI Industries,4.2,Public,Electrical Equipment,1k-5k Employees,56 years old,Delhi/NCR +72 more
1062,Sandhar Technologies,3.8,Public,Auto Components,1k-5k Employees,37 years old,Gurgaon/Gurugram +28 more
1063,United Breweries,3.9,Public,Beverage,1k-5k Employees,167 years old,Bangalore/Bengaluru +89 more
1064,Godfrey Phillips India,4.1,Public,FMCG,501-1k Employees,91 years old,Delhi/NCR +85 more
1065,Franklin Templeton Investments,4.2,None,None,None,None,None
1066,Digit Insurance,4.0,Fortune India 500,Insurance,1k-5k Employees,8 years old,Bengaluru/Bangalore +69 more
1067,Timken,3.9,Public,Industrial Machinery,1k-5k Employees,26 years old,Bangalore/Bengaluru +36 more
1068,Varroc Polymers,3.9,None,None,None,None,None
1069,LEAD School,3.3,Indian Unicorn,EdTech,1k-5k Employees,11 years old,Mumbai +81 more
1070,Medha Servo Drives,4.2,None,None,None,None,None
1071,Atlas Copco,4.3,Public,Industrial Machinery,1k-5k Employees,151 years old,Nacka Municipality +48 more
1072,Page Industries,4.3,Public,Fashion & Textile,10k-50k Employees,30 years old,Bangalore/Bengaluru +75 more
1073,Indusind Marketing & Financial Services,4.1,None,None,None,None,None
1074,National Health Mission,3.7,None,None,None,None,None
1075,Qinecsa Solutions,2.9,None,None,None,None,None
1076,ValueMomentum,3.3,None,None,None,None,None
1077,Greenko Group,3.9,None,None,None,None,None
1078,Kohler,3.9,None,None,None,None,None
1079,Precision Techserve,3.8,None,None,None,None,None
1080,Defence Research & Development Organisation,4.5,Central,Defence & Aerospace,10k-50k Employees,66 years old,Delhi/NCR +44 more
1081,Bayer Crop Science Vegetable Seeds,4.4,None,None,None,None,None
1082,Future Supply Chain Solutions,4.4,Public,Logistics,1k-5k Employees,18 years old,Mumbai +62 more
1083,ffreedom app,3.6,None,None,None,None,None
1084,T-SYSTEMS ICT INDIA,4.0,Public,IT Services & Consulting,1k-5k Employees,8 years old,Frankfurt +8 more
1085,Samsung Research,3.4,None,None,None,None,None
1086,NetAmbit,3.4,None,None,None,None,None
1087,Acme Cleantech Solutions,3.9,None,None,None,None,None
1088,Asirvad Microfinance,3.9,None,None,None,None,None
1089,Mswipe Technologies,3.2,None,None,None,None,None
1090,Aristo Pharmaceuticals,4.2,None,None,None,None,None
1091,Kalpataru Group,3.9,Conglomerate,Real Estate,1k-5k Employees,55 years old,Mumbai +57 more
1092,SHYAM METALICS AND ENERGY,3.7,Fortune India 500,Iron & Steel,1k-5k Employees,29 years old,Kolkata +42 more
1093,Tata Consumer Products,4.0,Public,FMCG,1k-5k Employees,62 years old,Mumbai +133 more
1094,AtkinsRealis,4.1,Public,Engineering & Construction,1k-5k Employees,113 years old,Montreal +51 more
1095,Financial Software & Systems,3.8,None,None,None,None,None
1096,Fareportal,3.3,None,None,None,None,None
1097,NielsenIQ,3.9,None,None,None,None,None
1098,Westside,4.1,None,None,None,None,None
1099,Infra.Market,4.2,Indian Unicorn,Building Material,1k-5k Employees,8 years old,Thane +73 more
1100,Galfar,4.2,None,None,None,None,None
1101,Astral Pipe,4.2,None,None,None,None,None
1102,Adani Green Energy,4.2,Fortune India 500,Power,1k-5k Employees,9 years old,Ahmedabad +68 more
1103,Snapdeal,3.9,Indian Unicorn,Internet,1k-5k Employees,14 years old,Delhi +30 more
1104,Velocis Systems,3.9,None,None,None,None,None
1105,Piramal Pharma,4.0,Public,Pharma,1k-5k Employees,36 years old,Lexington +45 more
1106,Quess IT Staffing Solutions,3.4,None,None,None,None,None
1107,Salesforce,4.2,Public,Software Product,5k-10k Employees,25 years old,San Francisco +25 more
1108,Lumina Datamatics,3.6,None,None,None,None,None
1109,General Mills,4.2,Forbes Global 2000,Food Processing,1k-5k Employees,96 years old,Minneapolis +41 more
1110,Rebel Foods,3.7,Indian Unicorn,Internet,5k-10k Employees,12 years old,Mumbai +60 more
1111,Lowe's,4.2,Forbes Global 2000,Retail,1k-5k Employees,78 years old,Mooresville +5 more
1112,Karvy Stock Broking,3.6,None,None,None,None,None
1113,SFO Technologies,3.6,None,None,None,None,None
1114,Innova Solutions,3.7,None,None,None,None,None
1115,Cult.fit,3.8,Indian Unicorn,Fitness & Wellness,1k-5k Employees,8 years old,Bangalore +34 more
1116,GAMMON INDIA,3.9,Public,Engineering & Construction,11-50 Employees,102 years old,Mumbai +71 more
1117,Bayer,4.2,Public,Pharma,10k-50k Employees,161 years old,Monheim Am Rhein +98 more
1118,Netscribes,2.9,None,None,None,None,None
1119,CNH,4.3,Public,Automobile,1k-5k Employees,11 years old,London +53 more
1120,Michelin,4.0,None,None,None,None,None
1121,NetCracker,3.1,None,None,None,None,None
1122,Athena BPO,3.2,None,None,None,None,None
1123,Sanden Vikas,3.9,None,None,None,None,None
1124,Nityo Infotech,3.2,None,None,None,None,None
1125,DuPont,4.2,None,None,None,None,None
1126,J B Chemicals And Pharmaceuticals,3.9,Public,Pharma,1k-5k Employees,48 years old,Mumbai +67 more
1127,City Union Bank,3.4,Public,Banking,5k-10k Employees,120 years old,Thanjavur +116 more
1128,Royal Sundaram General Insurance,4.0,None,None,None,None,None
1129,Citco,3.1,None,None,None,None,None
1130,Sandvik Asia,4.4,None,None,None,None,None
1131,Musashi Auto Parts,4.0,None,None,None,None,None
1132,Shilpa Medicare,3.6,Public,Pharma,1k-5k Employees,37 years old,Raichur +28 more
1133,Northern Trust,3.8,None,None,None,None,None
1134,ICCS,3.3,None,None,None,None,None
1135,Border Security Force,4.6,None,None,None,None,None
1136,NBC Bearings,3.9,Public,Auto Components,1k-5k Employees,78 years old,Jaipur +25 more
1137,Artech Infosystems,3.6,None,None,None,None,None
1138,OLX,3.8,None,None,None,None,None
1139,Signify,3.6,Conglomerate,Consumer Electronics & Appliances,1k-5k Employees,8 years old,Eindhoven +65 more
1140,Micromax Informatics,3.7,None,None,None,None,None
1141,Hitachi Payment Services,3.8,None,None,None,None,None
1142,Collins Aerospace,4.0,None,None,None,None,None
1143,Medusind Solutions,3.9,None,None,None,None,None
1144,Schlumberger,4.1,Forbes Global 2000,Oil & Gas,5k-10k Employees,98 years old,Houston +27 more
1145,OCS Group,4.0,None,None,None,None,None
1146,Merino Industries,3.9,Public,Furniture & Furnishing,1k-5k Employees,56 years old,Delhi/NCR +56 more
1147,DAV Public School,4.1,None,None,None,None,None
1148,Temenos,3.3,None,None,None,None,None
1149,ESL Steel,4.0,Public,Iron & Steel,5k-10k Employees,18 years old,Jharkhand +19 more
1150,Knight Frank,4.2,None,None,None,None,None
1151,Jabil Circuit India,4.0,Public,Electronics Manufacturing,1k-5k Employees,58 years old,St Petersburg +11 more
1152,Genpact Headstrong Capital Markets,3.8,None,None,None,None,None
1153,Navayuga Engineering Company,4.1,None,None,None,None,None
1154,Tata Starbucks,4.3,None,None,None,None,None
1155,Ageas Federal Life Insurance,3.7,None,None,None,None,None
1156,Adani Enterprises,3.9,Public,Financial Services,1k-5k Employees,36 years old,Mumbai +52 more
1157,Aparajitha Corporate Services,3.9,None,None,None,None,None
1158,Mastek,3.6,Public,IT Services & Consulting,1k-5k Employees,42 years old,Mumbai +18 more
1159,HomeLane,3.5,Startup,Architecture & Interior Design,1k-5k Employees,10 years old,Bangalore +32 more
1160,BNP Paribas India Solutions,4.0,None,None,None,None,None
1161,Xebia,3.5,None,None,None,None,None
1162,Volvo,4.1,Forbes Global 2000,Automobile,1k-5k Employees,97 years old,Gothenburg +35 more
1163,TÜV NORD,3.8,None,None,None,None,None
1164,GlaxoSmithKline Consumer Healthcare,4.5,Public,Pharma,1k-5k Employees,24 years old,London +95 more
1165,Reliance Power,4.2,Public,Power,1k-5k Employees,29 years old,Navi Mumbai +30 more
1166,Arohan Financial Services,4.1,None,None,None,None,None
1167,Prochant,4.5,None,None,None,None,None
1168,CRB Tech Solution,4.2,None,None,None,None,None
1169,Guardian India,4.2,None,None,None,None,None
1170,RAMTeCH Software Solutions,3.9,None,None,None,None,None
1171,Tata Electronics,4.0,None,None,None,None,None
1172,Kutumbh Care,3.9,None,None,None,None,None
1173,Eveready Industries,4.0,Public,Consumer Electronics & Appliances,1k-5k Employees,90 years old,Kolkata +73 more
1174,Dhani Services,3.5,None,None,None,None,None
1175,Porter,4.3,Startup,Internet,1k-5k Employees,10 years old,Bangalore +25 more
1176,Quantiphi Analytics Solutions Private Limited,3.1,Startup,IT Services & Consulting,1k-5k Employees,11 years old,Marlborough +11 more
1177,Kurlon,4.3,None,None,None,None,None
1178,Bridge & Roof Co,3.6,Central,Engineering & Construction,1k-5k Employees,104 years old,Kolkata +61 more
1179,First Advantage,3.9,None,None,None,None,None
1180,First Advantage,3.9,None,None,None,None,None
1181,Amul Dairy,4.2,None,None,None,None,None
1182,Zepto,3.7,Indian Unicorn,Internet,1k-5k Employees,3 years old,Mumbai +28 more
1183,Veradigm,4.1,None,None,None,None,None
1184,Jaya Hind Industries,3.7,Public,Auto Components,1k-5k Employees,77 years old,Pune +18 more
1185,GirnarSoft,3.7,None,None,None,None,None
1186,Svatantra Microfin,4.2,None,None,None,None,None
1187,GE Healthcare,4.2,None,None,None,None,None
1188,Deepak Fertilisers and Petrochemicals,3.9,Public,Agro Chemicals,1k-5k Employees,45 years old,Pune +45 more
1189,NoBrokerHOOD,3.4,None,None,None,None,None
1190,Rungta Mines,4.1,Public,Metals & Mining,1k-5k Employees,62 years old,Singhbum +23 more
1191,IMPACT Infotech,3.5,None,None,None,None,None
1192,ICA Edu Skills,3.8,None,None,None,None,None
1193,Globant,4.0,None,None,None,None,None
1194,Amphenol Interconnect,4.2,None,None,None,None,None
1195,Prism Johnson,3.9,Public,Building Material,1k-5k Employees,32 years old,Mumbai +105 more
1196,Transsion,4.2,Public,Consumer Electronics & Appliances,501-1k Employees,18 years old,Shenzhen +58 more
1197,Carnival Cruise Lines,4.5,Public,Sports & Recreation,1k-5k Employees,52 years old,Miami +25 more
1198,Medlife,3.7,Startup,Internet,1k-5k Employees,10 years old,Bangalore +29 more
1199,Salcomp Manufacturing,4.1,None,None,None,None,None
1200,AuthBridge Research Services,3.4,None,None,None,None,None
1201,ACL Digital,3.6,None,None,None,None,None
1202,Deccan Fine Chemicals,3.7,None,None,None,None,None
1203,H&M,4.0,Forbes Global 2000,Fashion & Textile,1k-5k Employees,77 years old,Stockholm +41 more
1204,McDermott International,4.2,Public,Engineering & Construction,1k-5k Employees,101 years old,Houston +29 more
1205,Tata Hitachi Construction Machinery,4.1,Fortune India 500,Industrial Machinery,1k-5k Employees,25 years old,Bangalore/Bengaluru +68 more
1206,Amazon Services,4.2,None,None,None,None,None
1207,Ugam Solution,3.7,None,None,None,None,None
1208,Advik Hi Tech,3.8,None,None,None,None,None
1209,TCNS Clothing Company,4.0,Public,Fashion & Textile,501-1k Employees,23 years old,Delhi/NCR +96 more
1210,Bitwise Solutions,4.2,None,None,None,None,None
1211,Varthana,4.5,None,None,None,None,None
1212,Ashirvad Pipes,4.1,None,None,None,None,None
1213,Telenor,4.5,Forbes Global 2000,Telecom,501-1k Employees,15 years old,Fornebu +116 more
1214,L&T Power,3.9,Public,Power,1k-5k Employees,18 years old,Mumbai +84 more
1215,Times Internet,3.6,Public,Internet,10k-50k Employees,25 years old,Gurgaon +23 more
1216,Comviva Technology,3.3,None,None,None,None,None
1217,Nippon Life India Asset Management,4.7,Public,Financial Services,1k-5k Employees,29 years old,Mumbai +158 more
1218,Fractal Analytics,4.1,Indian Unicorn,Analytics & KPO,1k-5k Employees,24 years old,New York City +13 more
1219,Silaris Informations,3.2,None,None,None,None,None
1220,Lumen Technologies,4.0,Forbes Global 2000,Hardware & Networking,1k-5k Employees,94 years old,Monroe +13 more
1221,Flash Electronics,3.7,None,None,None,None,None
1222,Embibe,3.7,Startup,EdTech,1k-5k Employees,12 years old,Bangalore +16 more
1223,Bpo Convergence,3.6,Conglomerate,BPO,1k-5k Employees,10 years old,Bhubaneswar +29 more
1224,Union Bank of India,4.1,Public,Banking,50k-1 Lakh Employees,105 years old,Mumbai +116 more
1225,Simplilearn,3.2,None,None,None,None,None
1226,The Lalit,3.8,None,None,None,None,None
1227,Lea Associates South Asia,4.3,None,None,None,None,None
1228,The Akshaya Patra Foundation,4.5,None,None,None,None,None
1229,CSM Technologies,4.5,None,None,None,None,None
1230,Rallis India,4.3,Public,Agro Chemicals,1k-5k Employees,76 years old,Mumbai +89 more
1231,Rodic Consultants,4.4,None,None,None,None,None
1232,Re Sustainability Limited,4.0,None,None,None,None,None
1233,Finolex Cables,3.9,Public,Electrical Equipment,1k-5k Employees,68 years old,Pune +63 more
1234,Amazon Web Services,4.0,Public,Software Product,10k-50k Employees,18 years old,Seattle +40 more
1235,Primus Global Technologies,4.1,None,None,None,None,None
1236,Hitachi Systems Micro Clinic,4.0,None,None,None,None,None
1237,Engineers India,4.3,None,None,None,None,None
1238,Eris Lifesciences,3.9,Public,Pharma,1k-5k Employees,17 years old,Ahmedabad +73 more
1239,Pratap Technocrats,4.0,None,None,None,None,None
1240,Swaraj Tractors,4.2,Conglomerate,Automobile,1k-5k Employees,62 years old,Mumbai +71 more
1241,HP India,4.2,None,None,None,None,None
1242,Chennai Radha Engineering Works,4.0,None,None,None,None,None
1243,Hindustan Sanitaryware & Industries,4.1,Public,Furniture & Furnishing,1k-5k Employees,64 years old,Gurgaon/Gurugram +57 more
1244,Rico Auto Industries,3.8,Public,Auto Components,1k-5k Employees,41 years old,Gurgaon/Gurugram +22 more
1245,Denave,3.8,None,None,None,None,None
1246,Cogoport,3.1,Startup,Internet,51-200 Employees,8 years old,Mumbai +12 more
1247,Indium Software,4.1,None,None,None,None,None
1248,Wipro Infrastructure Engineering,3.9,None,None,None,None,None
1249,IFFCO,4.1,None,None,None,None,None
1250,MattsenKumar,3.6,None,None,None,None,None
1251,Crowne Plaza,4.1,Public,Hospitality,501-1k Employees,41 years old,Atlanta +28 more
1252,Citigroup,3.8,Forbes Global 2000,Banking,10k-50k Employees,212 years old,New York City +33 more
1253,Caparo Engineering India,4.0,None,None,None,None,None
1254,Balkrishna Industries,4.1,Public,Auto Components,1k-5k Employees,37 years old,Mumbai +19 more
1255,EMERSON PROCESS MANAGEMENT,4.0,Public,Industrial Machinery,1k-5k Employees,134 years old,St. Louis +28 more
1256,Biba Apparels,4.0,None,None,None,None,None
1257,Edubridge Learning,3.6,None,None,None,None,None
1258,Government of India,4.2,Central,Government,1 Lakh+ Employees,74 years old,New Delhi +128 more
1259,Progressive Infotech,3.4,Forbes Global 2000,IT Services & Consulting,1k-5k Employees,26 years old,Noida +52 more
1260,PUMA,4.3,None,None,None,None,None
1261,India Cements,3.7,Public,Building Material,1k-5k Employees,78 years old,Chennai +79 more
1262,Skipper,3.8,Public,Power,1k-5k Employees,43 years old,Kolkata +61 more
1263,Shaktiman Tirth Agro Technology,4.3,None,None,None,None,None
1264,Isuzu Motors,4.0,Forbes Global 2000,Automobile,1k-5k Employees,12 years old,Tokyo +26 more
1265,Indo Autotech,4.0,None,None,None,None,None
1266,Religare,3.8,Public,Financial Services,1k-5k Employees,40 years old,New Delhi +93 more
1267,TDK India,4.0,Forbes Global 2000,Semiconductors,1k-5k Employees,2024 years old,Nashik +24 more
1268,Astral Adhesives,4.1,None,None,None,None,None
1269,Sharda Motor Industries,3.8,Public,Auto Components,1k-5k Employees,38 years old,Delhi/NCR +24 more
1270,Redington,4.0,Public,Hardware & Networking,1k-5k Employees,25 years old,Dubai +45 more
1271,Ups Logistics,4.1,Forbes Global 2000,Logistics,1k-5k Employees,117 years old,Atlanta +36 more
1272,Neeyamo Enterprise Solutions,3.7,None,None,None,None,None
1273,Rohan Builders,4.3,None,None,None,None,None
1274,Toyo Engineeering,3.9,None,None,None,None,None
1275,Investors Clinic,3.7,None,None,None,None,None
1276,Wonder Cement,4.2,Fortune India 500,Building Material,1k-5k Employees,14 years old,Ajmer +76 more
1277,Central Industrial Security Force,4.5,None,None,None,None,None
1278,Naukri,4.0,Public,Internet,1k-5k Employees,28 years old,Noida +57 more
1279,Ingram Micro,3.9,Conglomerate,IT Services & Consulting,1k-5k Employees,45 years old,Irvine +42 more
1280,KGISL,3.2,None,None,None,None,None
1281,Ramco Systems,3.4,Public,Software Product,1k-5k Employees,27 years old,Chennai +22 more
1282,MG Motor,4.1,None,None,None,None,None
1283,Integreon,3.6,None,None,None,None,None
1284,Target,4.3,Forbes Global 2000,Retail,1k-5k Employees,122 years old,Minneapolis +16 more
1285,Xceedance,3.8,None,None,None,None,None
1286,Rane (Madras),4.0,Public,Auto Components,1k-5k Employees,27 years old,Vallancherry +27 more
1287,VA Tech Wabag,4.0,Public,Waste Management,501-1k Employees,100 years old,Chennai +41 more
1288,Fleetguard Filters,4.2,None,None,None,None,None
1289,JSW Group,4.1,Conglomerate,Iron & Steel,10k-50k Employees,42 years old,Mumbai +71 more
1290,CMS Computers Limited (INDIA),3.9,None,None,None,None,None
1291,MALABAR GOLD AND DIAMONDS,4.2,None,None,None,None,None
1292,Magna International,4.0,Public,Auto Components,501-1k Employees,67 years old,Aurora +18 more
1293,DP World,4.1,Public,Logistics,1k-5k Employees,19 years old,Dubai +55 more
1294,Innodata India Private Limited,3.2,None,None,None,None,None
1295,Bharti Infratel,4.4,Public,Telecom,1k-5k Employees,18 years old,Gurgaon/Gurugram +68 more
1296,Ivrcl Infrastructures & Projects,4.2,Public,Engineering & Construction,1k-5k Employees,37 years old,Hyderabad/Secunderabad +53 more
1297,Accolite,3.5,None,None,None,None,None
1298,Ukb Electronics,4.3,None,None,None,None,None
1299,Unimoni,3.9,None,None,None,None,None
1300,Icon Plc,4.1,Public,Clinical Research,1k-5k Employees,34 years old,Dublin +15 more
1301,HIL,4.2,Public,Building Material,1k-5k Employees,78 years old,Hyderabad/Secunderabad +77 more
1302,Zuventus Healthcare,3.8,None,None,None,None,None
1303,Fortrea Development India Private Limited,4.1,None,None,None,None,None
1304,MagicBricks,3.3,None,None,None,None,None
1305,Sunbeam Auto,3.7,None,None,None,None,None
1306,LifeCell International,3.5,None,None,None,None,None
1307,Bses Rajdhani Power,3.7,None,None,None,None,None
1308,Nlb Services,4.0,None,None,None,None,None
1309,NSB Bpo Solutions,2.9,None,None,None,None,None
1310,KMV Projects,4.2,None,None,None,None,None
1311,Linde India,4.1,Public,Oil & Gas,201-500 Employees,145 years old,Pullach +42 more
1312,Ihg Group,4.0,None,None,None,None,None
1313,Csc E Governance Services,3.9,Public,Government,1k-5k Employees,15 years old,Delhi +170 more
1314,Ag Industries,4.0,None,None,None,None,None
1315,IVY Comptech,4.1,None,None,None,None,None
1316,HSBC Bank,4.1,None,None,None,None,None
1317,SKH Metals,4.1,None,None,None,None,None
1318,Integra Software Services,4.0,None,None,None,None,None
1319,JK Paper,4.0,Public,Pulp & Paper,1k-5k Employees,62 years old,Delhi/NCR +41 more
1320,Radical Minds,2.9,None,None,None,None,None
1321,Jain Irrigation Systems,4.0,Public,Agriculture,5k-10k Employees,61 years old,Jalgaon +80 more
1322,Thriveni Earthmovers,4.0,None,None,None,None,None
1323,Shyam Steel Industries,3.7,None,None,None,None,None
1324,MasterCard,4.1,Forbes Global 2000,FinTech,5k-10k Employees,58 years old,Purchase +13 more
1325,Hitachi,4.1,Forbes Global 2000,Industrial Machinery,10k-50k Employees,114 years old,Tokyo +73 more
